ALIGNMENT LEFT, 39.962858, 83.012122
ALIGNMENT LEFT, 39.962858, 83.012122
ALIGNMENT RIGHT, 39.962853, 83.012118
ALIGNMENT RIGHT, 39.962853, 83.012118
WARP 31FT, 39.962699, 83.012246
WARP 31FT, 39.962795, 83.012296
ALIGNMENT RIGHT, 37.304654, 82.34118
LEFT RAIL CANT, 37.30531, 82.34165
LEFT RAIL CANT, 39.972366, 83.022916
WARP 31FT, 39.968768, 83.015389
WARP 31FT, 39.968763, 83.015387
WARP 62FT, 39.968748, 83.015379
ALIGNMENT LEFT, 39.962736, 83.01204
ALIGNMENT LEFT, 39.962736, 83.01204
ALIGNMENT RIGHT, 39.96275, 83.01205
ALIGNMENT RIGHT, 39.962819, 83.012096
ALIGNMENT LEFT, 39.962539, 83.012195
ALIGNMENT RIGHT, 39.962561, 83.012201
PROFILE RIGHT 62FT, 39.962614, 83.012218
WARP 31FT, 39.963372, 83.012477
WARP 31FT, 39.962679, 83.012193
WARP 31FT, 39.96271, 83.012271
WARP 31FT, 39.962651, 83.01223
LEFT RAIL CANT, 37.305276, 82.341629
LEFT RAIL CANT, 37.305194, 82.341541
LEFT RAIL CANT, 37.305324, 82.341526
LEFT RAIL CANT, 37.305346, 82.341573
LEFT RAIL CANT, 37.305247, 82.341594
RIGHT RAIL CANT, 37.305184, 82.341533
RIGHT RAIL CANT, 37.305256, 82.341602
LEFT RAIL CANT, 39.972558, 83.022904
LEFT RAIL CANT, 39.972782, 83.022012
WIDE GAGE, 39.973101, 83.022334
ALIGNMENT LEFT, 39.962587, 83.012237
ALIGNMENT LEFT, 39.962587, 83.012237
ALIGNMENT LEFT, 39.96262, 83.011705
ALIGNMENT LEFT, 39.96262, 83.011705
ALIGNMENT RIGHT, 39.962641, 83.011727
ALIGNMENT RIGHT, 39.962603, 83.012241
PROFILE RIGHT 62FT, 39.96247, 83.012173
WARP 31FT, 39.962525, 83.01214
WARP 31FT, 39.962479, 83.012209
WARP 31FT, 39.962497, 83.012182
LEFT RAIL CANT, 37.305139, 82.341496
LEFT RAIL CANT, 37.30522, 82.341574
LEFT RAIL CANT, 37.305113, 82.34147
LEFT RAIL CANT, 37.305281, 82.341437
LEFT RAIL CANT, 39.97328, 83.022524
LEFT RAIL CANT, 39.972908, 83.022126
WIDE GAGE, 39.972766, 83.022899
WIDE GAGE, 39.972962, 83.022177
ALIGNMENT LEFT, 39.962563, 83.012126
ALIGNMENT RIGHT, 39.962541, 83.012122
ALIGNMENT LEFT, 39.962514, 83.011591
ALIGNMENT RIGHT, 39.962794, 83.012228
CROSSLEVEL, 39.9628, 83.01223
PROFILE LEFT 62FT, 39.962408, 83.012102
PROFILE RIGHT 62FT, 39.962403, 83.012101
PROFILE RIGHT 62FT, 39.962403, 83.012101
PROFILE RIGHT 62FT, 39.96239, 83.012149
WARP 31FT, 39.962288, 83.012119
WARP 31FT, 39.9628, 83.01223
RIGHT RAIL CANT, 37.305143, 82.341172
WIDE GAGE, 37.305195, 82.341269
WIDE GAGE, 36.985474, 82.305891
RIGHT RAIL CANT, 39.972997, 83.022211
WIDE GAGE, 39.972804, 83.022077
ALIGNMENT LEFT, 39.962552, 83.012123
ALIGNMENT RIGHT, 39.962541, 83.012121
ALIGNMENT LEFT, 39.962691, 83.012189
WARP 31FT, 39.962712, 83.012112
LEFT RAIL CANT, 39.972825, 83.022088
RIGHT RAIL CANT, 39.973193, 83.022423
PROFILE LEFT 62FT, 39.962422, 83.012101
PROFILE RIGHT 62FT, 39.962427, 83.012102
PROFILE RIGHT 62FT, 39.962427, 83.012102
PROFILE RIGHT 62FT, 39.962411, 83.0121
ALIGNMENT LEFT, 39.962571, 83.012172
ALIGNMENT LEFT, 39.962571, 83.012172
ALIGNMENT LEFT, 39.962592, 83.012185
ALIGNMENT LEFT, 39.962592, 83.012185
ALIGNMENT RIGHT, 39.962566, 83.012171
ALIGNMENT RIGHT, 39.962566, 83.012171
ALIGNMENT RIGHT, 39.962571, 83.012182
ALIGNMENT RIGHT, 39.962571, 83.012182
WARP 31FT, 39.962527, 83.012175
LEFT RAIL CANT, 37.305007, 82.34093
LEFT RAIL CANT, 37.305042, 82.340992
LEFT RAIL CANT, 37.30503, 82.340969
RIGHT RAIL CANT, 37.305049, 82.341003
RIGHT RAIL CANT, 39.973577, 83.022771
ALIGNMENT LEFT, 39.96243, 83.01215
ALIGNMENT RIGHT, 39.962413, 83.012147
ALIGNMENT RIGHT, 39.962413, 83.012147
RIGHT RAIL CANT, 37.304913, 82.340769
WARP 31FT, 37.304634, 82.341164
LEFT RAIL CANT, 37.301138, 82.334821
WARP 31FT, 37.304793, 82.341245
LEFT RAIL CANT, 37.300972, 82.33467
LEFT RAIL CANT, 37.301051, 82.33474
WARP 31FT, 37.304453, 82.341049
LEFT RAIL CANT, 39.973636, 83.022805
WIDE GAGE, 39.974039, 83.023065
WIDE GAGE, 39.974039, 83.023065
CROSSLEVEL, 39.973618, 83.022867
LEFT RAIL CANT, 39.973742, 83.022924
LEFT RAIL CANT, 39.958899, 83.011425
LEFT RAIL CANT, 39.958915, 83.01143
LEFT RAIL CANT, 39.974224, 83.023143
LEFT RAIL CANT, 39.974208, 83.023139
LEFT RAIL CANT, 39.96021, 83.012932
PROFILE RIGHT 62FT, 39.959589, 83.011646
LOADED GAGE, 37.602873, 82.734158
PLG 24 2ND LEVEL, 37.602874, 82.734145
RIGHT RAIL CANT, 39.974087, 83.023065
LEFT RAIL CANT, 39.97467, 83.023309
WIDE GAGE, 39.974245, 83.023148
LEFT RAIL CANT, 39.958443, 83.011204
LEFT RAIL CANT, 39.958467, 83.011223
LEFT RAIL CANT, 39.958544, 83.01126
LEFT RAIL CANT, 39.958343, 83.011144
RIGHT RAIL CANT, 39.958303, 83.011121
CROSSLEVEL, 39.958553, 83.011263
RIGHT RAIL CANT, 39.958553, 83.011263
CROSSLEVEL, 39.958553, 83.011263
LEFT RAIL CANT, 39.958553, 83.011263
RIGHT RAIL CANT, 39.956685, 83.009649
CROSSLEVEL, 39.958553, 83.011263
CROSSLEVEL, 39.958553, 83.011263
CROSSLEVEL, 39.958553, 83.011263
RIGHT RAIL CANT, 39.956625, 83.009601
CROSSLEVEL, 39.958553, 83.011263
CROSSLEVEL, 39.958553, 83.011263
RIGHT RAIL CANT, 39.956463, 83.009478
GWR 2ND LEVEL, 37.602803, 82.737394
GWR 2ND LEVEL, 37.602822, 82.737289
LOADED GAGE, 37.602803, 82.737394
LOADED GAGE, 37.602822, 82.737289
PLG 24 2ND LEVEL, 37.602803, 82.737394
PLG 24 2ND LEVEL, 37.602822, 82.737289
LOADED GAGE, 37.602718, 82.737738
PLG 24 2ND LEVEL, 37.60272, 82.737731
LEFT RAIL CANT, 39.958449, 83.009291
LEFT RAIL CANT, 39.958465, 83.009297
RIGHT RAIL CANT, 39.958449, 83.009291
LOADED GAGE, 37.602387, 82.738441
PLG 24 2ND LEVEL, 37.6024, 82.738418
LOADED GAGE, 37.602309, 82.738553
PLG 24 2ND LEVEL, 37.602313, 82.738548
CROSSLEVEL, 39.959611, 83.0116
WARP 31FT, 39.959634, 83.011605
WARP 31FT, 39.959569, 83.01159
WARP 31FT, 39.959569, 83.01159
LOADED GAGE, 37.601421, 82.739273
PLG 24 2ND LEVEL, 37.601421, 82.739273
LEFT RAIL CANT, 37.52715, 82.543023
LEFT RAIL CANT, 37.527168, 82.543007
RIGHT RAIL CANT, 37.527094, 82.54297
LOADED GAGE, 37.600857, 82.739403
PLG 24 2ND LEVEL, 37.600857, 82.739403
WARP 31FT, 39.956059, 83.009281
WIDE GAGE, 39.956408, 83.00949
WIDE GAGE, 39.956461, 83.009544
WARP 31FT, 39.956022, 83.009243
WARP 31FT, 39.956022, 83.009243
WIDE GAGE, 39.956497, 83.009572
WARP 31FT, 39.955821, 83.009112
WARP 31FT, 39.955821, 83.009112
WARP 31FT, 39.956004, 83.009239
WARP 31FT, 39.956004, 83.009239
WARP 62FT, 39.968778, 83.015346
WARP 62FT, 39.968778, 83.015346
LOADED GAGE, 37.599812, 82.739132
PLG 24 2ND LEVEL, 37.599812, 82.739132
RIGHT RAIL CANT, 37.595704, 82.736033
RIGHT RAIL CANT, 37.595724, 82.736057
LEFT RAIL CANT, 37.594997, 82.734942
RIGHT RAIL CANT, 37.601982, 82.738923
LEFT RAIL CANT, 37.296028, 82.336221
LEFT RAIL CANT, 37.295963, 82.336144
RIGHT RAIL CANT, 37.295967, 82.336133
RIGHT RAIL CANT, 37.295953, 82.336112
LEFT RAIL CANT, 37.295654, 82.335665
RIGHT RAIL CANT, 37.295759, 82.335819
RIGHT RAIL CANT, 37.295762, 82.335824
LEFT RAIL CANT, 37.295632, 82.335627
RIGHT RAIL CANT, 37.295667, 82.335673
LEFT RAIL CANT, 37.294758, 82.333889
RIGHT RAIL CANT, 37.294757, 82.333853
ALIGNMENT LEFT, 39.942853, 82.999537
ALIGNMENT RIGHT, 39.942853, 82.999537
LEFT RAIL CANT, 37.595789, 82.736127
LEFT RAIL CANT, 37.595738, 82.736137
RIGHT RAIL CANT, 37.595614, 82.735933
LOADED GAGE, 37.595769, 82.736065
LOADED GAGE, 37.59581, 82.736099
LOADED GAGE, 37.595734, 82.735984
PLG 24 2ND LEVEL, 37.595734, 82.735984
WIDE GAGE, 37.595752, 82.736
WIDE GAGE, 37.595751, 82.736049
WIDE GAGE, 37.595801, 82.736091
WIDE GAGE, 37.595801, 82.736091
LOADED GAGE, 37.59558, 82.735879
WIDE GAGE, 37.595707, 82.735986
LOADED GAGE, 37.595504, 82.735799
PLG 24 2ND LEVEL, 37.595499, 82.735786
WIDE GAGE, 37.595557, 82.73586
WIDE GAGE, 37.595499, 82.735786
LOADED GAGE, 37.595493, 82.735775
LOADED GAGE, 37.595493, 82.735775
LOADED GAGE, 37.595499, 82.735786
LOADED GAGE, 37.595499, 82.735786
PLG 24 2ND LEVEL, 37.595489, 82.735771
PLG 24 2ND LEVEL, 37.595398, 82.735651
WARP 31FT, 38.378715, 82.600483
WARP 31FT, 38.378743, 82.600486
WARP 62FT, 38.378792, 82.600493
WARP 62FT, 38.378792, 82.600493
LOADED GAGE, 37.595062, 82.735158
PLG 24 2ND LEVEL, 37.595069, 82.735169
PLG 24 2ND LEVEL, 37.595042, 82.735125
PLG 24 2ND LEVEL, 37.595055, 82.735147
LOADED GAGE, 37.594837, 82.734774
LOADED GAGE, 37.594958, 82.734988
LOADED GAGE, 37.594958, 82.734988
PLG 24 2ND LEVEL, 37.594962, 82.734993
PLG 24 2ND LEVEL, 37.594995, 82.735049
PLG 24 2ND LEVEL, 37.595008, 82.735071
