,DIVISION,SUBDIVISION,PREFIX,MILEPOST,TRACK TYPE,TRACK CODE,SIDE,DEFECT TYPE,SIZE,DATE FOUND,CAR NAME,PREPARED BY,CURVE-TANG,ROADMASTER,JOINT-WELD,ROLLED YEAR,MILL,WEIGHT,MGT,AGE,CUM MGT
16154,GL,SCOTTSLAWN,QT,94.424,SG,M,L,FH,10.0,03/14/2012,S978,SRS,L,160,,1978.0,UI,132.0,37.03,35.0,842.4325
16155,GL,SCOTTSLAWN,QT,104.957,SG,M,R,TW,20.0,03/14/2012,S978,SRS,L,160,,1986.0,BS,132.0,37.03,27.0,729.8613
16156,GL,ERIE WEST,QD,127.95,1,M,R,BRO,9999.0,03/14/2011,S956,SRS,L,260,,2008.0,OT,136.0,46.93,4.0,180.2112
16157,GL,NEW CASTLE,BG,81.3,1,M,L,DR,,03/08/2012,SERV,J9554,L,G80, ,1977.0,BL,122.0,31.86,36.0,734.0544
16158,GL,NEW CASTLE,BG,174.201,1,M,L,BHB,2.0,03/02/2012,S978,SRS,L,G75,J,1980.0,BL,122.0,31.86,33.0,704.4246
16159,GL,NEW CASTLE,BG,177.284,1,M,R,EFBW,10.0,03/02/2012,S978,SRS,L,G75,,1968.0,UI,122.0,31.86,45.0,788.535
16160,GL,NEW CASTLE,BG,177.367,1,M,R,TW,30.0,03/02/2012,S978,SRS,L,G75,,1977.0,BL,122.0,31.86,36.0,734.0544
16161,GL,NEW CASTLE,BG,160.635,1,M,R,EFBW,40.0,03/01/2012,S978,SRS,L,G75,,1971.0,UI,122.0,31.86,42.0,776.1096
16162,GL,NEW CASTLE,BG,161.907,1,M,L,EFBW,50.0,03/01/2012,S978,SRS,L,G75,,1971.0,UI,122.0,31.86,42.0,776.1096
16163,GL,NEW CASTLE,BG,174.34,1,M,L,EFBW,10.0,03/01/2011,S978,SRS,L,G75,,1971.0,BL,122.0,31.86,41.0,770.6934
16164,GL,MOUNT VICTORY,QI,60.078,SG,M,L,TW,20.0,02/29/2012,S978,SRS,L,159,,1976.0,BS,140.0,39.86,37.0,929.1366
16165,GL,NEW CASTLE,BG,134.345,1,M,L,SD,5.0,02/22/2012,S955,SRS,L,G80,,1973.0,UT,132.0,31.86,40.0,764.64
16166,GL,NEW CASTLE,BG,167.97,1,M,R,EFBW,15.0,02/18/2011,S955,SRS,L,G75,,1971.0,BL,122.0,31.86,41.0,770.6934
16167,GL,ST LOUIS LINE,QS,142.347,1,M,L,TDD,10.0,02/18/2011,D024,DPS,L,166,,1978.0,UT,132.0,28.04,34.0,629.2176
16168,GL,ST LOUIS LINE,QS,123.0,SG,M,R,FH,12.0,02/17/2011,D024,DPS,L,166,,1976.0,UI,140.0,35.7,36.0,822.528
16169,GL,NEW CASTLE,BG,110.454,1,M,L,FH,11.0,02/16/2012,S955,SRS,L,G80,,1977.0,UI,122.0,31.86,36.0,734.0544
16170,GL,NEW CASTLE,BG,126.24,1,M,L,FH,8.0,02/16/2011,S955,SRS,L,G80,,1978.0,BS,122.0,31.86,34.0,714.9384
16171,GL,ERIE WEST,QD,114.79,2,M,L,TW,10.0,02/15/2011,S956,SRS,L,260,,1955.0,UC,140.0,56.0,57.0,1372.56
16172,GL,NEW CASTLE,BG,74.27,1,M,R,FH,8.0,02/10/2011,S955,SRS,L,G80,,1948.0,UC,140.0,31.86,64.0,734.0544
16173,GL,COLUMBUS LINE,QE,129.06,SD,S,R,VSH,24.0,02/10/2011,S978,SRS,L,160,,1929.0,SS,127.0,1.12,83.0,15.8032
16174,GL,ST LOUIS LINE,QS,92.4,SG,M,L,CH,,02/09/2011,SERV,J6620,L,164, ,,MT,140.0,35.7,,
16175,GL,WILLARD,BI,21.68,1,M,R,TDD,20.0,02/07/2011,S978,SRS,L,H10,,1969.0,UI,122.0,59.0,43.0,1446.09
16176,GL,WILLARD,BI,21.77,1,M,R,TDD,40.0,02/07/2011,S978,SRS,L,H10,,1969.0,UI,122.0,59.0,43.0,1446.09
16177,GL,NEW CASTLE,BG,62.3,2,M,L,VSH,,02/03/2012,SERV,H7698,L,G80, ,1994.0,BS,136.0,32.47,19.0,499.7133
