,LATITUDE,LONGITUDE,EXCEPTION TYPE
718,37.560783,82.770251,PLG 24 2ND LEVEL
719,38.808282,82.846654,PROFILE LEFT 62FT
720,38.808287,82.846657,PROFILE RIGHT 62FT
721,37.55984,82.771861,GWR 2ND LEVEL
722,37.55984,82.771861,PLG 24 2ND LEVEL
723,37.398033,82.53715,ALIGNMENT LEFT
724,37.398033,82.53715,ALIGNMENT LEFT
725,37.37782,82.542467,ALIGNMENT LEFT
726,37.37782,82.542467,ALIGNMENT LEFT
727,37.398032,82.537143,ALIGNMENT RIGHT
728,37.398032,82.537143,ALIGNMENT RIGHT
729,37.377815,82.542465,ALIGNMENT RIGHT
730,37.377815,82.542465,ALIGNMENT RIGHT
731,37.398029,82.537123,WARP 31FT
732,37.398029,82.537123,WARP 31FT
733,37.377809,82.542465,ALIGNMENT LEFT
734,37.377809,82.542465,ALIGNMENT LEFT
735,37.37769,82.542418,ALIGNMENT LEFT
736,37.377809,82.542465,ALIGNMENT RIGHT
737,37.377809,82.542465,ALIGNMENT RIGHT
738,37.37769,82.542418,ALIGNMENT RIGHT
739,37.377903,82.540986,WARP 31FT
740,37.377875,82.542469,WARP 31FT
741,37.377725,82.542432,WARP 31FT
742,37.377862,82.540967,ALIGNMENT LEFT
743,37.377862,82.540967,ALIGNMENT LEFT
744,37.377825,82.542473,ALIGNMENT LEFT
745,37.377825,82.542473,ALIGNMENT LEFT
746,37.377862,82.540967,ALIGNMENT RIGHT
747,37.377862,82.540967,ALIGNMENT RIGHT
748,37.37782,82.542471,ALIGNMENT RIGHT
749,37.37782,82.542471,ALIGNMENT RIGHT
750,37.377721,82.542433,WARP 31FT
751,38.809903,82.847756,GWR 2ND LEVEL
752,38.809903,82.847756,PLG 24 2ND LEVEL
753,38.810315,82.848145,GWR 2ND LEVEL
754,38.810315,82.848145,PLG 24 2ND LEVEL
755,37.376247,82.541644,ALIGNMENT LEFT
756,37.306353,82.608899,ALIGNMENT LEFT
757,37.306356,82.608894,ALIGNMENT LEFT
758,37.376252,82.541647,ALIGNMENT RIGHT
759,37.376172,82.541601,ALIGNMENT LEFT
760,37.376172,82.541601,ALIGNMENT RIGHT
761,38.320099,82.576842,LEFT RAIL CANT
762,38.320072,82.576831,LEFT RAIL CANT
763,38.320135,82.576856,LEFT RAIL CANT
764,38.321488,82.585873,RIGHT RAIL CANT
765,37.376125,82.541689,ALIGNMENT LEFT
766,37.376073,82.541666,ALIGNMENT RIGHT
767,37.376052,82.541657,ALIGNMENT RIGHT
768,38.319918,82.576781,LEFT RAIL CANT
769,38.321285,82.585931,RIGHT RAIL CANT
770,37.375451,82.541261,ALIGNMENT LEFT
771,37.375451,82.541261,ALIGNMENT LEFT
772,37.375469,82.541269,ALIGNMENT LEFT
773,37.375469,82.541269,ALIGNMENT LEFT
